QueryID	Docid	Score
3b7e962f	93cefec12b2c	0.054836974
3b7e962f	3d27e08f9aef	0.054836974
3b7e962f	4936a153dbdb	0.054836974
3b7e962f	5ff6b9a03413	0.054836974
3b7e962f	26f64577015d	0.054836974
3b7e962f	f8c277b7b8b2	0.054836974
3b7e962f	ea7965b46290	0.054836974
3b7e962f	168f55096bae	0.054836974
3b7e962f	438b888ebb82	0.054836974
3b7e962f	b5781b51bdc3	0.054836974
3b7e962f	547f03e84f40	0.054836974
3b7e962f	6a631328721e	0.054836974
3b7e962f	ccba46b7356f	0.054836974
3b7e962f	1869df14e3fe	0.054836974
3b7e962f	4cbe52f2d333	0.054836974
3b7e962f	e460ca8b0faf	0.9297193
3b7e962f	499f1618dd87	0.9297193
3b7e962f	9da817ca9ab6	0.58425313
3b7e962f	b1d1a0c03b82	0.054836974
3b7e962f	d8eace27560d	0.054836974
3b7e962f	893b2603cba7	0.054836974
3b7e962f	9f501798180e	0.054836974
3b7e962f	35f44d78ed42	0.054836974
3b7e962f	fa1e4860f32e	0.054836974
3b7e962f	c6a5f6246d7e	0.054836974
3b7e962f	6da67dd6ac4c	0.054836974
3b7e962f	7f4be94b2e6c	0.054836974
3b7e962f	9406a6e04bf6	0.054836974
3b7e962f	1773df437b4e	0.054836974
3b7e962f	7d051c92eade	0.054836974
3b7e962f	449bbcad60da	0.054836974
3b7e962f	3ee13a573717	0.054836974
3b7e962f	2b156a3078f3	0.054836974
3b7e962f	dfa81b1e3b4b	0.054836974
3b7e962f	699573d89e0d	0.054836974
3b7e962f	24fc76fb7f10	0.054836974
3b7e962f	611e23ce2a62	0.054836974
3b7e962f	b416c5516ea6	0.054836974
3b7e962f	899510d6a08d	0.054836974
3b7e962f	73196ec6b9d7	0.58425313
46ff29c0	93cefec12b2c	0.054836974
46ff29c0	33b822a9f3d4	0.054836974
46ff29c0	88f78e7c8913	0.054836974
46ff29c0	043f8697fecc	0.054836974
46ff29c0	d647b318cc53	0.054836974
46ff29c0	e52f22ea5a35	0.13644451
46ff29c0	472ae5b7baa4	0.13644451
46ff29c0	4b68d8f6fbea	0.054836974
46ff29c0	2353a70b9df3	0.054836974
46ff29c0	997fe53f0152	0.054836974
46ff29c0	4e64e733c89c	0.054836974
46ff29c0	487065b9321a	0.06277475
46ff29c0	c8985c3aea43	0.054836974
46ff29c0	2bf3149d88d3	0.19522732
46ff29c0	87ffaea8cf67	0.06277475
46ff29c0	9357025281e7	0.054836974
46ff29c0	eb03031bc417	0.40030304
46ff29c0	134f8da6a437	0.054836974
46ff29c0	e64bb0e9b32d	0.16961972
46ff29c0	5f240f4817b0	0.2029382
46ff29c0	dd67bc136de6	0.2029382
46ff29c0	607809485806	0.9297193
46ff29c0	90fc89ab7055	0.9297193
46ff29c0	1578dd3322ca	0.20177759
46ff29c0	78afe3f2a519	0.9297193
46ff29c0	c64f5193c024	0.6438234
46ff29c0	675a06d0b34d	0.6243915
